Date,Open,High,Low,Close,Volume,Open_Change,High_Change,Low_Change,Close_Change,Volume_Change,Open_Change_Ratio,High_Change_Ratio,Low_Change_Ratio,Close_Change_Ratio,Volume_Change_Ratio
2021-01-02,29376.455078,33155.117188,29091.181641,32127.267578,67865420765,382.44531199999983,3554.4902349999975,287.59570299999905,2753.115234000001,27135119406.0,0.013018769997419218,0.10720789236982377,0.009886009669496293,0.08569403629847655,0.39983719396600725
2021-01-03,32129.408203,34608.558594,32052.316406,32782.023438,78665235202,2752.953125,1453.4414060000054,2961.1347650000025,654.7558599999975,10799814437.0,0.0856832814226236,0.04199658885105908,0.0923844232501616,0.019973015431409367,0.1372882749192546
2021-01-04,32810.949219,33440.21875,28722.755859,31971.914063,81163475344,681.5410160000029,-1168.339844000002,-3329.560547000001,-810.1093749999964,2498240142.0,0.02077175553352597,-0.03493816391377529,-0.1159206506278441,-0.02533815690245171,0.0307803495526967
2021-01-05,31977.041016,34437.589844,30221.1875,33992.429688,67547324782,-833.9082030000027,997.3710940000019,1498.4316409999992,2020.5156249999964,-13616150562.0,-0.026078341725951106,0.02896169849626605,0.049582156260405026,0.059440164870394024,-0.20157942014645752
2021-01-06,34013.613281,36879.699219,33514.035156,36824.363281,75289433811,2036.5722649999989,2442.109375,3292.847655999998,2831.9335930000016,7742109029.0,0.05987521079207506,0.06621825629591505,0.09825279590095798,0.07690380337034025,0.10283128238731497
2021-01-07,36833.875,40180.367188,36491.191406,39371.042969,84762141031,2820.261719000002,3300.6679689999946,2977.15625,2546.679688000004,9472707220.0,0.07656706547980635,0.08214628685587896,0.08158561382324411,0.06468407987071133,0.11175634669888239
2021-01-08,39381.765625,41946.738281,36838.636719,40797.609375,88107519480,2547.890625,1766.3710930000016,347.4453130000038,1426.566405999998,3345378449.0,0.06469721670839891,0.042109855626130746,0.00943154643995836,0.03496691173464127,0.03796927286960321
2021-01-09,40788.640625,41436.351563,38980.875,40254.546875,61984162837,1406.875,-510.38671800000157,2142.238280999998,-543.0625,-26123356643.0,0.03449183347232475,-0.012317366243599115,0.05495613633608784,-0.01349071203524757,-0.4214521169172954
2021-01-10,40254.21875,41420.191406,35984.628906,38356.441406,79980747690,-534.421875,-16.160156999998435,-2996.246094000002,-1898.105469000002,17996584853.0,-0.01327617058771014,-0.0003901516736510668,-0.08326461005966952,-0.049485963750096125,0.22501146054239893
2021-01-11,38346.53125,38346.53125,30549.599609,35566.65625,123320567399,-1907.6875,-3073.660155999998,-5435.029296999997,-2789.785155999998,43339819709.0,-0.049748632739760525,-0.08015484206280062,-0.17790836431777068,-0.07843821854915017,0.3514403203220377
2021-01-12,35516.359375,36568.527344,32697.976563,33922.960938,74773277909,-2830.171875,-1778.003905999998,2148.3769539999994,-1643.6953120000035,-48547289490.0,-0.07968642971306797,-0.048621151441903085,0.06570366670428883,-0.048453768967990064,-0.6492598806365377
2021-01-13,33915.121094,37599.960938,32584.667969,37316.359375,69364315979,-1601.238280999998,1031.4335939999946,-113.3085940000019,3393.3984370000035,-5408961930.0,-0.04721310817561187,0.027431773019678522,-0.003477359171123058,0.09093594589169388,-0.07797902788571517
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,3409.988280999998,2366.4453120000035,4283.894531000002,1870.96875,-5748325946.0,0.09135909681443494,0.05921086067126697,0.11619369567229539,0.04774422854326713,-0.09035976557180243
2021-01-15,39156.707031,39577.710938,34659.589844,36825.367188,67760757881,1831.597655999998,-388.69531200000347,-2208.972655999998,-2361.9609370000035,4144767848.0,0.04677609009741139,-0.00982106601892438,-0.06373337555182865,-0.06413950809890845,0.061167672523364525
2021-01-16,36821.648438,37864.367188,35633.554688,36178.140625,57706187875,-2335.0585930000016,-1713.34375,973.9648439999946,-647.2265629999965,-10054570006.0,-0.06341537361999844,-0.045249501767535,0.02733280057316281,-0.017889989695953217,-0.1742372937158778
